Year,State,Area,FClass,VMT
2011,Delaware,Urban,Minor Collector,0
2011,Delaware,Urban,Local,823914865
2011,District of Columbia,Rural,Interstate,0
2011,District of Columbia,Rural,Other Freeways and Expressways,0
2011,District of Columbia,Rural,Other Principal Arterial,0
2011,District of Columbia,Rural,Minor Arterial,0
2011,District of Columbia,Rural,Major Collector,0
2011,District of Columbia,Rural,Minor Collector,0
2011,District of Columbia,Rural,Local,0
2011,District of Columbia,Urban,Interstate,425042018.93
2011,District of Columbia,Urban,Other Freeways and Expressways,359384362.58
2011,District of Columbia,Urban,Other Principal Arterial,1011063478.355
2011,District of Columbia,Urban,Minor Arterial,720678530.355
2011,District of Columbia,Urban,Major Collector,288118493.64
2011,District of Columbia,Urban,Minor Collector,0
2011,District of Columbia,Urban,Local,763828200
2011,Florida,Rural,Interstate,9442171723.855
2011,Florida,Rural,Other Freeways and Expressways,1882357401.955
2011,Florida,Rural,Other Principal Arterial,7704328636.485
2011,Florida,Rural,Minor Arterial,4030275718.295
2011,Florida,Rural,Major Collector,3708449052.715
2011,Florida,Rural,Minor Collector,1630763790
2011,Florida,Rural,Local,6413877090
2011,Florida,Urban,Interstate,25247018454.51
2011,Florida,Urban,Other Freeways and Expressways,11736978649.12
2011,Florida,Urban,Other Principal Arterial,38139433449.945
2011,Florida,Urban,Minor Arterial,26803541712.075
2011,Florida,Urban,Major Collector,18734968982.925
2011,Florida,Urban,Minor Collector,0
2011,Florida,Urban,Local,36380790270
2011,Georgia,Rural,Interstate,9591376560
2011,Georgia,Rural,Other Freeways and Expressways,0
2011,Georgia,Rural,Other Principal Arterial,6326773271
2011,Georgia,Rural,Minor Arterial,6215255879.5
2011,Georgia,Rural,Major Collector,5701389644
2011,Georgia,Rural,Minor Collector,1494922835
2011,Georgia,Rural,Local,6833597525
2011,Georgia,Urban,Interstate,18875448779.5
2011,Georgia,Urban,Other Freeways and Expressways,2985326349.5
2011,Georgia,Urban,Other Principal Arterial,12375703432
2011,Georgia,Urban,Minor Arterial,15173963887
2011,Georgia,Urban,Major Collector,4796583150.5
2011,Georgia,Urban,Minor Collector,0
2011,Georgia,Urban,Local,18083161420
2011,Hawaii,Rural,Interstate,109755142.3
2011,Hawaii,Rural,Other Freeways and Expressways,0
2011,Hawaii,Rural,Other Principal Arterial,480616531.3
2011,Hawaii,Rural,Minor Arterial,623175853.69
2011,Hawaii,Rural,Major Collector,283833903.18
2011,Hawaii,Rural,Minor Collector,38986745
2011,Hawaii,Rural,Local,861763905
2011,Hawaii,Urban,Interstate,1754877959.3
2011,Hawaii,Urban,Other Freeways and Expressways,529247580.05
2011,Hawaii,Urban,Other Principal Arterial,1899819874.305
2011,Hawaii,Urban,Minor Arterial,721357694.98
2011,Hawaii,Urban,Major Collector,930949995.545
2011,Hawaii,Urban,Minor Collector,0
2011,Hawaii,Urban,Local,1831994130
2011,Idaho,Rural,Interstate,2198287434.5
2011,Idaho,Rural,Other Freeways and Expressways,0
2011,Idaho,Rural,Other Principal Arterial,2174443513.85
2011,Idaho,Rural,Minor Arterial,896802996.15
2011,Idaho,Rural,Major Collector,1592232326.29
2011,Idaho,Rural,Minor Collector,244550000
2011,Idaho,Rural,Local,2160800000
2011,Idaho,Urban,Interstate,1284866977.5
2011,Idaho,Urban,Other Freeways and Expressways,0
2011,Idaho,Urban,Other Principal Arterial,2218969218.53
2011,Idaho,Urban,Minor Arterial,1547858553.955
2011,Idaho,Urban,Major Collector,796173299.88
2011,Idaho,Urban,Minor Collector,0
2011,Idaho,Urban,Local,821615000
2011,Illinois,Rural,Interstate,8903317063.85
2011,Illinois,Rural,Other Freeways and Expressways,0
2011,Illinois,Rural,Other Principal Arterial,3829550026.2
2011,Illinois,Rural,Minor Arterial,4607259950
2011,Illinois,Rural,Major Collector,4915175647.25
2011,Illinois,Rural,Minor Collector,408928480
2011,Illinois,Rural,Local,3741231750
2011,Illinois,Urban,Interstate,22129400204.15
2011,Illinois,Urban,Other Freeways and Expressways,1106379678
2011,Illinois,Urban,Other Principal Arterial,20618834067.75
2011,Illinois,Urban,Minor Arterial,15378757386.2
2011,Illinois,Urban,Major Collector,8271491595.65
2011,Illinois,Urban,Minor Collector,0
2011,Illinois,Urban,Local,9323691035
2011,Indiana,Rural,Interstate,7352344045.195
2011,Indiana,Rural,Other Freeways and Expressways,0
2011,Indiana,Rural,Other Principal Arterial,4595648386.77
2011,Indiana,Rural,Minor Arterial,3554363972.025
2011,Indiana,Rural,Major Collector,6480668139.0575
2011,Indiana,Rural,Minor Collector,1883010545
2011,Indiana,Rural,Local,4923528435
2011,Indiana,Urban,Interstate,9778014579.6
2011,Indiana,Urban,Other Freeways and Expressways,1287973750.92
2011,Indiana,Urban,Other Principal Arterial,10620785613.7875
2011,Indiana,Urban,Minor Arterial,8303439595.97
2011,Indiana,Urban,Major Collector,4810097636.485
2011,Indiana,Urban,Minor Collector,24440.4
2011,Indiana,Urban,Local,12895331740
2011,Iowa,Rural,Interstate,4856479592.1
2011,Iowa,Rural,Other Freeways and Expressways,0
2011,Iowa,Rural,Other Principal Arterial,5714191260.53
2011,Iowa,Rural,Minor Arterial,2548579398.88
2011,Iowa,Rural,Major Collector,3474134322.49
2011,Iowa,Rural,Minor Collector,866510000
2011,Iowa,Rural,Local,1560375000
2011,Iowa,Urban,Interstate,2572763352.8
2011,Iowa,Urban,Other Freeways and Expressways,0
2011,Iowa,Urban,Other Principal Arterial,3586015961.36
2011,Iowa,Urban,Minor Arterial,3238101905.185
2011,Iowa,Urban,Major Collector,951130366.3
2011,Iowa,Urban,Minor Collector,364977.37
2011,Iowa,Urban,Local,1905665000
2011,Kansas,Rural,Interstate,3199007273.85
2011,Kansas,Rural,Other Freeways and Expressways,0
2011,Kansas,Rural,Other Principal Arterial,4510858292.55
2011,Kansas,Rural,Minor Arterial,2247004298.4
2011,Kansas,Rural,Major Collector,2786809340.67095
2011,Kansas,Rural,Minor Collector,257718835
2011,Kansas,Rural,Local,1696695930
2011,Kansas,Urban,Interstate,3634394932.35
2011,Kansas,Urban,Other Freeways and Expressways,1781738353.1
2011,Kansas,Urban,Other Principal Arterial,3622523603
2011,Kansas,Urban,Minor Arterial,2799747815.4
2011,Kansas,Urban,Major Collector,1181302339.225
2011,Kansas,Urban,Minor Collector,0
2011,Kansas,Urban,Local,2303446015
2011,Kentucky,Rural,Interstate,7343291163.355
2011,Kentucky,Rural,Other Freeways and Expressways,2043093636.015
2011,Kentucky,Rural,Other Principal Arterial,5182546322.155
2011,Kentucky,Rural,Minor Arterial,2809381591.09
2011,Kentucky,Rural,Major Collector,4579986832.815
2011,Kentucky,Rural,Minor Collector,2486015000
2011,Kentucky,Rural,Local,3441950000
2011,Kentucky,Urban,Interstate,6053928759.715
2011,Kentucky,Urban,Other Freeways and Expressways,832447567.455
2011,Kentucky,Urban,Other Principal Arterial,6186120573.925
2011,Kentucky,Urban,Minor Arterial,3205424485.58
2011,Kentucky,Urban,Major Collector,1774288552.72
2011,Kentucky,Urban,Minor Collector,0
2011,Kentucky,Urban,Local,2122840000
2011,Louisiana,Rural,Interstate,5339890140
2011,Louisiana,Rural,Other Freeways and Expressways,0
2011,Louisiana,Rural,Other Principal Arterial,2778714778
2011,Louisiana,Rural,Minor Arterial,3344200412.15
2011,Louisiana,Rural,Major Collector,4511054188.05
2011,Louisiana,Rural,Minor Collector,1462081230
2011,Louisiana,Rural,Local,2637509345
2011,Louisiana,Urban,Interstate,7312592536.5
2011,Louisiana,Urban,Other Freeways and Expressways,815052665
2011,Louisiana,Urban,Other Principal Arterial,7943807923.99
2011,Louisiana,Urban,Minor Arterial,5943231463.72
2011,Louisiana,Urban,Major Collector,2724640526.59
2011,Louisiana,Urban,Minor Collector,0
2011,Louisiana,Urban,Local,1699936035
2011,Maine,Rural,Interstate,2207239508.45
2011,Maine,Rural,Other Freeways and Expressways,0
2011,Maine,Rural,Other Principal Arterial,1853260092.15
2011,Maine,Rural,Minor Arterial,1770959100.1
2011,Maine,Rural,Major Collector,2215929497.8
2011,Maine,Rural,Minor Collector,833660000
2011,Maine,Rural,Local,1423135000
2011,Maine,Urban,Interstate,804710477.6
2011,Maine,Urban,Other Freeways and Expressways,147767158.45
2011,Maine,Urban,Other Principal Arterial,721531357.6
2011,Maine,Urban,Minor Arterial,908287148.1
2011,Maine,Urban,Major Collector,939809697.85
2011,Maine,Urban,Minor Collector,0
2011,Maine,Urban,Local,421940000
2011,Maryland,Rural,Interstate,3512193483.5
2011,Maryland,Rural,Other Freeways and Expressways,0
2011,Maryland,Rural,Other Principal Arterial,3403858212.005
2011,Maryland,Rural,Minor Arterial,2315417025.12
2011,Maryland,Rural,Major Collector,1974892334.45
2011,Maryland,Rural,Minor Collector,1232240000
2011,Maryland,Rural,Local,1654545000
2011,Maryland,Urban,Interstate,13452143564.885
2011,Maryland,Urban,Other Freeways and Expressways,5874637991.555
2011,Maryland,Urban,Other Principal Arterial,10114292302.185
2011,Maryland,Urban,Minor Arterial,6227628120.615
2011,Maryland,Urban,Major Collector,3456168488.86
2011,Maryland,Urban,Minor Collector,0
2011,Maryland,Urban,Local,3002490000
2011,Massachusetts,Rural,Interstate,1282321683.215
2011,Massachusetts,Rural,Other Freeways and Expressways,254810846.055
2011,Massachusetts,Rural,Other Principal Arterial,470359647.685
2011,Massachusetts,Rural,Minor Arterial,565268380.675
2011,Massachusetts,Rural,Major Collector,653083210.185
2011,Massachusetts,Rural,Minor Collector,155648410
2011,Massachusetts,Rural,Local,691557835
2011,Massachusetts,Urban,Interstate,15268185350.175
2011,Massachusetts,Urban,Other Freeways and Expressways,5650628503.065
2011,Massachusetts,Urban,Other Principal Arterial,10898997457.555
2011,Massachusetts,Urban,Minor Arterial,8743511925.445
2011,Massachusetts,Urban,Major Collector,2711448368.455
2011,Massachusetts,Urban,Minor Collector,0
2011,Massachusetts,Urban,Local,7445890865
2011,Michigan,Rural,Interstate,5295665429.285
2011,Michigan,Rural,Other Freeways and Expressways,2492258264.775
2011,Michigan,Rural,Other Principal Arterial,4171774114.53
2011,Michigan,Rural,Minor Arterial,6573366549.76
2011,Michigan,Rural,Major Collector,8083289040.78
2011,Michigan,Rural,Minor Collector,948304310
2011,Michigan,Rural,Local,2410922820
2011,Michigan,Urban,Interstate,15411123106.39
2011,Michigan,Urban,Other Freeways and Expressways,5565230503.9
2011,Michigan,Urban,Other Principal Arterial,16968282419.89
2011,Michigan,Urban,Minor Arterial,15294168263.17
2011,Michigan,Urban,Major Collector,4715665688.03
2011,Michigan,Urban,Minor Collector,0
2011,Michigan,Urban,Local,6824219215
2011,Minnesota,Rural,Interstate,4119491526.94
2011,Minnesota,Rural,Other Freeways and Expressways,35711958.065
2011,Minnesota,Rural,Other Principal Arterial,7286238587.5
2011,Minnesota,Rural,Minor Arterial,4927203697.015
2011,Minnesota,Rural,Major Collector,4248076683.075
2011,Minnesota,Rural,Minor Collector,1339479555
2011,Minnesota,Rural,Local,2627721505
2011,Minnesota,Urban,Interstate,8224698795.67
2011,Minnesota,Urban,Other Freeways and Expressways,3448484197.515
2011,Minnesota,Urban,Other Principal Arterial,4705595945.39
2011,Minnesota,Urban,Minor Arterial,8581809947.01
2011,Minnesota,Urban,Major Collector,2658513601.785
2011,Minnesota,Urban,Minor Collector,4226762.415
2011,Minnesota,Urban,Local,4477465220
2011,Mississippi,Rural,Interstate,3771241356.5
2011,Mississippi,Rural,Other Freeways and Expressways,937285.325
2011,Mississippi,Rural,Other Principal Arterial,5620303801.19
2011,Mississippi,Rural,Minor Arterial,3393144679.81
2011,Mississippi,Rural,Major Collector,4161837140.64
2011,Mississippi,Rural,Minor Collector,454561510
2011,Mississippi,Rural,Local,5660639000
2011,Mississippi,Urban,Interstate,3298775913.22
2011,Mississippi,Urban,Other Freeways and Expressways,486905235.655
2011,Mississippi,Urban,Other Principal Arterial,5000826093.555
2011,Mississippi,Urban,Minor Arterial,2365777753.025
2011,Mississippi,Urban,Major Collector,1606087339.39
2011,Mississippi,Urban,Minor Collector,0
2011,Mississippi,Urban,Local,3029684690
2011,Missouri,Rural,Interstate,5963023223.355
2011,Missouri,Rural,Other Freeways and Expressways,3702832444.395
2011,Missouri,Rural,Other Principal Arterial,4619648660.645
2011,Missouri,Rural,Minor Arterial,3524475612.685
2011,Missouri,Rural,Major Collector,5152133911.51
2011,Missouri,Rural,Minor Collector,648429070
2011,Missouri,Rural,Local,5396525000
2011,Missouri,Urban,Interstate,12495750424.55
2011,Missouri,Urban,Other Freeways and Expressways,4774968575.39
2011,Missouri,Urban,Other Principal Arterial,6330942969.315
2011,Missouri,Urban,Minor Arterial,5514598206.14
2011,Missouri,Urban,Major Collector,2949767972.485
2011,Missouri,Urban,Minor Collector,27277.18
2011,Missouri,Urban,Local,7716100000
2011,Montana,Rural,Interstate,2449314302.56
2011,Montana,Rural,Other Freeways and Expressways,0
2011,Montana,Rural,Other Principal Arterial,2284330806.955
2011,Montana,Rural,Minor Arterial,1190758394.955
2011,Montana,Rural,Major Collector,1133593679.785
2011,Montana,Rural,Minor Collector,438134320
2011,Montana,Rural,Local,1222385000
2011,Montana,Urban,Interstate,361061682.85
2011,Montana,Urban,Other Freeways and Expressways,0
2011,Montana,Urban,Other Principal Arterial,984839122.24
2011,Montana,Urban,Minor Arterial,553442686.18
2011,Montana,Urban,Major Collector,331699560.8
2011,Montana,Urban,Minor Collector,0
2011,Montana,Urban,Local,710038515
2011,Nebraska,Rural,Interstate,2605249002.5
2011,Nebraska,Rural,Other Freeways and Expressways,1064259809.5
2011,Nebraska,Rural,Other Principal Arterial,2247810999.5
2011,Nebraska,Rural,Minor Arterial,2299107971.75
2011,Nebraska,Rural,Major Collector,1530521414.575
2011,Nebraska,Rural,Minor Collector,238345000
2011,Nebraska,Rural,Local,1090620000
2011,Nebraska,Urban,Interstate,1365235250.75
2011,Nebraska,Urban,Other Freeways and Expressways,903368247.5
2011,Nebraska,Urban,Other Principal Arterial,2141699331
2011,Nebraska,Urban,Minor Arterial,1978771516.125
2011,Nebraska,Urban,Major Collector,532600030.225
2011,Nebraska,Urban,Minor Collector,0
2011,Nebraska,Urban,Local,1095730000
2011,Nevada,Rural,Interstate,1898421940
2011,Nevada,Rural,Other Freeways and Expressways,3083520
2011,Nevada,Rural,Other Principal Arterial,1529852532
2011,Nevada,Rural,Minor Arterial,452262152.35
2011,Nevada,Rural,Major Collector,399233222.25
2011,Nevada,Rural,Minor Collector,210860500
2011,Nevada,Rural,Local,389865260
2011,Nevada,Urban,Interstate,3465597218.5
2011,Nevada,Urban,Other Freeways and Expressways,1713274011
2011,Nevada,Urban,Other Principal Arterial,2935504981
2011,Nevada,Urban,Minor Arterial,4455706058.9
2011,Nevada,Urban,Major Collector,3947668.45
2011,Nevada,Urban,Minor Collector,2065376655.7
2011,Nevada,Urban,Local,4666330090
2011,New Hampshire,Rural,Interstate,1253155477.835
2011,New Hampshire,Rural,Other Freeways and Expressways,312612881.155
2011,New Hampshire,Rural,Other Principal Arterial,1055711090.48
2011,New Hampshire,Rural,Minor Arterial,953021038.56
2011,New Hampshire,Rural,Major Collector,1054246852.83
2011,New Hampshire,Rural,Minor Collector,562056565
2011,New Hampshire,Rural,Local,390705490
2011,New Hampshire,Urban,Interstate,1564224276.495
2011,New Hampshire,Urban,Other Freeways and Expressways,945609837.295
2011,New Hampshire,Urban,Other Principal Arterial,1260665511.245
2011,New Hampshire,Urban,Minor Arterial,1768881896.05
2011,New Hampshire,Urban,Major Collector,884849588.155
2011,New Hampshire,Urban,Minor Collector,0
2011,New Hampshire,Urban,Local,713789255
2011,New Jersey,Rural,Interstate,1510517744.7
2011,New Jersey,Rural,Other Freeways and Expressways,0
2011,New Jersey,Rural,Other Principal Arterial,1812762805.6
2011,New Jersey,Rural,Minor Arterial,780399630.7
2011,New Jersey,Rural,Major Collector,1168232621.8
2011,New Jersey,Rural,Minor Collector,290077545
2011,New Jersey,Rural,Local,736205000
2011,New Jersey,Urban,Interstate,13435817177.3
2011,New Jersey,Urban,Other Freeways and Expressways,11194357101.15
2011,New Jersey,Urban,Other Principal Arterial,16083363620.8
2011,New Jersey,Urban,Minor Arterial,11079466624.2
2011,New Jersey,Urban,Major Collector,3996361231.2
2011,New Jersey,Urban,Minor Collector,0
2011,New Jersey,Urban,Local,11006210000
2011,New Mexico,Rural,Interstate,4375725832.48
2011,New Mexico,Rural,Other Freeways and Expressways,0
2011,New Mexico,Rural,Other Principal Arterial,3151635514.155
2011,New Mexico,Rural,Minor Arterial,1444994808.025
2011,New Mexico,Rural,Major Collector,1307305714.58
2011,New Mexico,Rural,Minor Collector,504795000
2011,New Mexico,Rural,Local,3819360000
2011,New Mexico,Urban,Interstate,2639925282.92
2011,New Mexico,Urban,Other Freeways and Expressways,0
2011,New Mexico,Urban,Other Principal Arterial,4014072059.04
2011,New Mexico,Urban,Minor Arterial,1589203647.905
2011,New Mexico,Urban,Major Collector,0
2011,New Mexico,Urban,Minor Collector,1207732388.9
2011,New Mexico,Urban,Local,1595415000
2011,New York,Rural,Interstate,6151103370
2011,New York,Rural,Other Freeways and Expressways,641907250
2011,New York,Rural,Other Principal Arterial,3177377090
2011,New York,Rural,Minor Arterial,4740324550
2011,New York,Rural,Major Collector,4125266410
2011,New York,Rural,Minor Collector,2812690000
2011,New York,Rural,Local,5328270000
2011,New York,Urban,Interstate,20018727640
2011,New York,Urban,Other Freeways and Expressways,16924780190
2011,New York,Urban,Other Principal Arterial,18294053890.35
2011,New York,Urban,Minor Arterial,17448080870
2011,New York,Urban,Major Collector,7507746000
2011,New York,Urban,Minor Collector,0
2011,New York,Urban,Local,15347155000
2011,North Carolina,Rural,Interstate,6045041414.5
2011,North Carolina,Rural,Other Freeways and Expressways,28949405.6
2011,North Carolina,Rural,Other Principal Arterial,7678413593.78
2011,North Carolina,Rural,Minor Arterial,5278580979.77
2011,North Carolina,Rural,Major Collector,8701640062.035
2011,North Carolina,Rural,Minor Collector,3417133285
2011,North Carolina,Rural,Local,9116745890
2011,North Carolina,Urban,Interstate,15195467898.5
2011,North Carolina,Urban,Other Freeways and Expressways,5610665612.285
2011,North Carolina,Urban,Other Principal Arterial,12879095030.725
2011,North Carolina,Urban,Minor Arterial,11939299147.03
2011,North Carolina,Urban,Major Collector,5419523672.63
2011,North Carolina,Urban,Minor Collector,52523.5
2011,North Carolina,Urban,Local,12461750795
2011,North Dakota,Rural,Interstate,1613455769.225
2011,North Dakota,Rural,Other Freeways and Expressways,0
2011,North Dakota,Rural,Other Principal Arterial,2240366175.53
2011,North Dakota,Rural,Minor Arterial,794776372.975
2011,North Dakota,Rural,Major Collector,1057917397.22
2011,North Dakota,Rural,Minor Collector,0
2011,North Dakota,Rural,Local,1057405000
2011,North Dakota,Urban,Interstate,432425571.81
2011,North Dakota,Urban,Other Freeways and Expressways,0
2011,North Dakota,Urban,Other Principal Arterial,705971678.795
2011,North Dakota,Urban,Minor Arterial,580504433.69
2011,North Dakota,Urban,Major Collector,248882873.39
2011,North Dakota,Urban,Minor Collector,0
2011,North Dakota,Urban,Local,398945000
2011,Ohio,Rural,Interstate,9015087814.26
2011,Ohio,Rural,Other Freeways and Expressways,0
2011,Ohio,Rural,Other Principal Arterial,6552630447.89
2011,Ohio,Rural,Minor Arterial,4305712450.82
2011,Ohio,Rural,Major Collector,8724043682.465
2011,Ohio,Rural,Minor Collector,2017307185
2011,Ohio,Rural,Local,5731960000
2011,Ohio,Urban,Interstate,22373985311.675
2011,Ohio,Urban,Other Freeways and Expressways,5515820442.22
2011,Ohio,Urban,Other Principal Arterial,12431274822.89
2011,Ohio,Urban,Minor Arterial,13029334880.58
2011,Ohio,Urban,Major Collector,9429096211.325
2011,Ohio,Urban,Minor Collector,0
2011,Ohio,Urban,Local,12863695000
2011,Oklahoma,Rural,Interstate,5084970490
2011,Oklahoma,Rural,Other Freeways and Expressways,0
2011,Oklahoma,Rural,Other Principal Arterial,5017318324
2011,Oklahoma,Rural,Minor Arterial,2883590593
2011,Oklahoma,Rural,Major Collector,5663702824.6
2011,Oklahoma,Rural,Minor Collector,181034160
2011,Oklahoma,Rural,Local,2741090505
2011,Oklahoma,Urban,Interstate,4786086590
2011,Oklahoma,Urban,Other Freeways and Expressways,2811121230
2011,Oklahoma,Urban,Other Principal Arterial,5802602559.9
2011,Oklahoma,Urban,Minor Arterial,5596146894.5
2011,Oklahoma,Urban,Major Collector,1280456872.3
2011,Oklahoma,Urban,Minor Collector,0
2011,Oklahoma,Urban,Local,5615456380
2011,Oregon,Rural,Interstate,4131367840
2011,Oregon,Rural,Other Freeways and Expressways,0
2011,Oregon,Rural,Other Principal Arterial,4375554154
2011,Oregon,Rural,Minor Arterial,2058440633.7
2011,Oregon,Rural,Major Collector,2016444744.75
2011,Oregon,Rural,Minor Collector,595315000
2011,Oregon,Rural,Local,1489045240
2011,Oregon,Urban,Interstate,4478007391
2011,Oregon,Urban,Other Freeways and Expressways,1320185509
2011,Oregon,Urban,Other Principal Arterial,4765888471.85
2011,Oregon,Urban,Minor Arterial,3714038742.65
2011,Oregon,Urban,Major Collector,2272879349.15
2011,Oregon,Urban,Minor Collector,0
2011,Oregon,Urban,Local,2156230565
2011,Pennsylvania,Rural,Interstate,10539244286.93
2011,Pennsylvania,Rural,Other Freeways and Expressways,1882331688.435
2011,Pennsylvania,Rural,Other Principal Arterial,4180282073.635
2011,Pennsylvania,Rural,Minor Arterial,6882425715.725
2011,Pennsylvania,Rural,Major Collector,4425586304.525
2011,Pennsylvania,Rural,Minor Collector,2095611730
2011,Pennsylvania,Rural,Local,5643076295
2011,Pennsylvania,Urban,Interstate,13122777764.08
2011,Pennsylvania,Urban,Other Freeways and Expressways,6214491412.185
2011,Pennsylvania,Urban,Other Principal Arterial,16358365697.09
2011,Pennsylvania,Urban,Minor Arterial,12601470595.145
2011,Pennsylvania,Urban,Major Collector,7822101203.805
2011,Pennsylvania,Urban,Minor Collector,0
2011,Pennsylvania,Urban,Local,7436414005
2011,Rhode Island,Rural,Interstate,398384765.515
2011,Rhode Island,Rural,Other Freeways and Expressways,0
2011,Rhode Island,Rural,Other Principal Arterial,132791531.475
2011,Rhode Island,Rural,Minor Arterial,129917034.93
2011,Rhode Island,Rural,Major Collector,159864599.825
2011,Rhode Island,Rural,Minor Collector,35806500
2011,Rhode Island,Rural,Local,22222660
2011,Rhode Island,Urban,Interstate,1742258850.8
2011,Rhode Island,Urban,Other Freeways and Expressways,1193028616.115
2011,Rhode Island,Urban,Other Principal Arterial,2027958056.915
2011,Rhode Island,Urban,Minor Arterial,979088491.76
2011,Rhode Island,Urban,Major Collector,795513862.775
2011,Rhode Island,Urban,Minor Collector,0
2011,Rhode Island,Urban,Local,284593420
2011,South Carolina,Rural,Interstate,7461337347.45
2011,South Carolina,Rural,Other Freeways and Expressways,0
2011,South Carolina,Rural,Other Principal Arterial,3448019428.05
2011,South Carolina,Rural,Minor Arterial,4947075512.1
2011,South Carolina,Rural,Major Collector,4888616937.265
2011,South Carolina,Rural,Minor Collector,278201905
2011,South Carolina,Rural,Local,2377718040
2011,South Carolina,Urban,Interstate,6104954335.85
2011,South Carolina,Urban,Other Freeways and Expressways,812538391.7
2011,South Carolina,Urban,Other Principal Arterial,7249515225.75
2011,South Carolina,Urban,Minor Arterial,5566066302.8
2011,South Carolina,Urban,Major Collector,3455148971.955
2011,South Carolina,Urban,Minor Collector,0
2011,South Carolina,Urban,Local,2140987070
2011,South Dakota,Rural,Interstate,2039272063.75
2011,South Dakota,Rural,Other Freeways and Expressways,0
2011,South Dakota,Rural,Other Principal Arterial,1703173234.6
2011,South Dakota,Rural,Minor Arterial,1070463499.88
2011,South Dakota,Rural,Major Collector,1053136207.835
2011,South Dakota,Rural,Minor Collector,147706740
2011,South Dakota,Rural,Local,463429915
2011,South Dakota,Urban,Interstate,626268843.25
2011,South Dakota,Urban,Other Freeways and Expressways,36788409.86
2011,South Dakota,Urban,Other Principal Arterial,558875853.53
2011,South Dakota,Urban,Minor Arterial,801579860.19
2011,South Dakota,Urban,Major Collector,245000438.47
2011,South Dakota,Urban,Minor Collector,0
2011,South Dakota,Urban,Local,256353005
2011,Tennessee,Rural,Interstate,8650240988.7
2011,Tennessee,Rural,Other Freeways and Expressways,0
2011,Tennessee,Rural,Other Principal Arterial,5485070211.3
2011,Tennessee,Rural,Minor Arterial,4988382872.35
2011,Tennessee,Rural,Major Collector,3195444337.3
2011,Tennessee,Rural,Minor Collector,2737501460
2011,Tennessee,Rural,Local,3148306040
2011,Tennessee,Urban,Interstate,11750182955.55
2011,Tennessee,Urban,Other Freeways and Expressways,2014520362.55
2011,Tennessee,Urban,Other Principal Arterial,10746935991.25
2011,Tennessee,Urban,Minor Arterial,8251412963.9
2011,Tennessee,Urban,Major Collector,2970245637.2
2011,Tennessee,Urban,Minor Collector,0
2011,Tennessee,Urban,Local,6812860050
2011,Texas,Rural,Interstate,15548522857.4
2011,Texas,Rural,Other Freeways and Expressways,0
2011,Texas,Rural,Other Principal Arterial,20512925233.035
2011,Texas,Rural,Minor Arterial,12081466479.495
2011,Texas,Rural,Major Collector,13834834664.11
2011,Texas,Rural,Minor Collector,2594673310
2011,Texas,Rural,Local,5514677325
2011,Texas,Urban,Interstate,40185383064.23
2011,Texas,Urban,Other Freeways and Expressways,32293935556.415
2011,Texas,Urban,Other Principal Arterial,37099579770.23
2011,Texas,Urban,Minor Arterial,28882927457.96
2011,Texas,Urban,Major Collector,19245054159.7
2011,Texas,Urban,Minor Collector,0
2011,Texas,Urban,Local,9645911210
2011,Utah,Rural,Interstate,3096942042.07
2011,Utah,Rural,Other Freeways and Expressways,0
2011,Utah,Rural,Other Principal Arterial,1633711688.045
2011,Utah,Rural,Minor Arterial,861854361.125
2011,Utah,Rural,Major Collector,861670898.255
2011,Utah,Rural,Minor Collector,228406050
2011,Utah,Rural,Local,1084156215
2011,Utah,Urban,Interstate,6186646442.93
2011,Utah,Urban,Other Freeways and Expressways,286771823.95
2011,Utah,Urban,Other Principal Arterial,3015841598.53
2011,Utah,Urban,Minor Arterial,3634312392.71
2011,Utah,Urban,Major Collector,1525905375.645
2011,Utah,Urban,Minor Collector,2100151.235
2011,Utah,Urban,Local,3803307300
2011,Vermont,Rural,Interstate,1251868021
2011,Vermont,Rural,Other Freeways and Expressways,0
2011,Vermont,Rural,Other Principal Arterial,710756021.05
2011,Vermont,Rural,Minor Arterial,931486091.85
2011,Vermont,Rural,Major Collector,1179274255.05
2011,Vermont,Rural,Minor Collector,214950690
2011,Vermont,Rural,Local,994642520
2011,Vermont,Urban,Interstate,376277259
2011,Vermont,Urban,Other Freeways and Expressways,62910451
2011,Vermont,Urban,Other Principal Arterial,429996061
2011,Vermont,Urban,Minor Arterial,351688161.65
2011,Vermont,Urban,Major Collector,224078533.35
2011,Vermont,Urban,Minor Collector,0
2011,Vermont,Urban,Local,413111015
2011,Virginia,Rural,Interstate,9152255203.35
2011,Virginia,Rural,Other Freeways and Expressways,0
2011,Virginia,Rural,Other Principal Arterial,6387655511.535
2011,Virginia,Rural,Minor Arterial,5173927182.225
2011,Virginia,Rural,Major Collector,4981329586.8
2011,Virginia,Rural,Minor Collector,545057785
2011,Virginia,Rural,Local,3379318920
2011,Virginia,Urban,Interstate,14909508141.15
2011,Virginia,Urban,Other Freeways and Expressways,3394948946.35
2011,Virginia,Urban,Other Principal Arterial,12952925469.965
2011,Virginia,Urban,Minor Arterial,10443628110.94
2011,Virginia,Urban,Major Collector,4131139046.32
2011,Virginia,Urban,Minor Collector,0
2011,Virginia,Urban,Local,5522298160
2011,Washington,Rural,Interstate,4573990864.3
2011,Washington,Rural,Other Freeways and Expressways,1831985479.5
2011,Washington,Rural,Other Principal Arterial,2199326618.7
