Year,State,Area,FClass,VMT
2023,District of Columbia,Rural,Minor Collector,0
2023,District of Columbia,Rural,Local,0
2023,District of Columbia,Urban,Interstate,494412720
2023,District of Columbia,Urban,Other Freeways and Expressways,379184290
2023,District of Columbia,Urban,Other Principal Arterial,939734030
2023,District of Columbia,Urban,Minor Arterial,637458760
2023,District of Columbia,Urban,Major Collector,251073760
2023,District of Columbia,Urban,Minor Collector,0
2023,District of Columbia,Urban,Local,778872770
2023,Florida,Rural,Interstate,12457981920
2023,Florida,Rural,Other Freeways and Expressways,2639308820
2023,Florida,Rural,Other Principal Arterial,10061514630
2023,Florida,Rural,Minor Arterial,4520812760
2023,Florida,Rural,Major Collector,4584583780
2023,Florida,Rural,Minor Collector,1737875600
2023,Florida,Rural,Local,5893427970
2023,Florida,Urban,Interstate,33584065900
2023,Florida,Urban,Other Freeways and Expressways,17446162760
2023,Florida,Urban,Other Principal Arterial,47435767240
2023,Florida,Urban,Minor Arterial,30691101070
2023,Florida,Urban,Major Collector,21540918860
2023,Florida,Urban,Minor Collector,4178665350
2023,Florida,Urban,Local,42416003590
2023,Georgia,Rural,Interstate,8694718550
2023,Georgia,Rural,Other Freeways and Expressways,0
2023,Georgia,Rural,Other Principal Arterial,6483227740
2023,Georgia,Rural,Minor Arterial,5762525710
2023,Georgia,Rural,Major Collector,5301897450
2023,Georgia,Rural,Minor Collector,1316190000
2023,Georgia,Rural,Local,4380000000
2023,Georgia,Urban,Interstate,25990023190
2023,Georgia,Urban,Other Freeways and Expressways,3981703260
2023,Georgia,Urban,Other Principal Arterial,17204280070
2023,Georgia,Urban,Minor Arterial,18397844120
2023,Georgia,Urban,Major Collector,6448120560
2023,Georgia,Urban,Minor Collector,635864280
2023,Georgia,Urban,Local,21742685000
2023,Hawaii,Rural,Interstate,0
2023,Hawaii,Rural,Other Freeways and Expressways,0
2023,Hawaii,Rural,Other Principal Arterial,316872850
2023,Hawaii,Rural,Minor Arterial,602899570
2023,Hawaii,Rural,Major Collector,155765110
2023,Hawaii,Rural,Minor Collector,34101950
2023,Hawaii,Rural,Local,728999900
2023,Hawaii,Urban,Interstate,1833082110
2023,Hawaii,Urban,Other Freeways and Expressways,463840660
2023,Hawaii,Urban,Other Principal Arterial,2081970760
2023,Hawaii,Urban,Minor Arterial,1001131480
2023,Hawaii,Urban,Major Collector,743562720
2023,Hawaii,Urban,Minor Collector,275758380
2023,Hawaii,Urban,Local,2197371180
2023,Idaho,Rural,Interstate,3037212330
2023,Idaho,Rural,Other Freeways and Expressways,376321140
2023,Idaho,Rural,Other Principal Arterial,2553785280
2023,Idaho,Rural,Minor Arterial,1307656330
2023,Idaho,Rural,Major Collector,1666242800
2023,Idaho,Rural,Minor Collector,172452280
2023,Idaho,Rural,Local,2343169700
2023,Idaho,Urban,Interstate,1850347680
2023,Idaho,Urban,Other Freeways and Expressways,221519600
2023,Idaho,Urban,Other Principal Arterial,2361071180
2023,Idaho,Urban,Minor Arterial,1885275420
2023,Idaho,Urban,Major Collector,775357840
2023,Idaho,Urban,Minor Collector,5527030
2023,Idaho,Urban,Local,1162353450
2023,Illinois,Rural,Interstate,9395826940
2023,Illinois,Rural,Other Freeways and Expressways,168497600
2023,Illinois,Rural,Other Principal Arterial,3687747450
2023,Illinois,Rural,Minor Arterial,4257509640
2023,Illinois,Rural,Major Collector,3694915490
2023,Illinois,Rural,Minor Collector,507462060
2023,Illinois,Rural,Local,3118706730
2023,Illinois,Urban,Interstate,23858954000
2023,Illinois,Urban,Other Freeways and Expressways,1104186870
2023,Illinois,Urban,Other Principal Arterial,18539329720
2023,Illinois,Urban,Minor Arterial,14593622820
2023,Illinois,Urban,Major Collector,7679486830
2023,Illinois,Urban,Minor Collector,890841920
2023,Illinois,Urban,Local,11373697110
2023,Indiana,Rural,Interstate,8312873710
2023,Indiana,Rural,Other Freeways and Expressways,882321100
2023,Indiana,Rural,Other Principal Arterial,5336634300
2023,Indiana,Rural,Minor Arterial,3331587800
2023,Indiana,Rural,Major Collector,5449935200
2023,Indiana,Rural,Minor Collector,4339138980
2023,Indiana,Rural,Local,5153783580
2023,Indiana,Urban,Interstate,11591523380
2023,Indiana,Urban,Other Freeways and Expressways,1394566700
2023,Indiana,Urban,Other Principal Arterial,10409468390
2023,Indiana,Urban,Minor Arterial,8850414370
2023,Indiana,Urban,Major Collector,4206296210
2023,Indiana,Urban,Minor Collector,671454340
2023,Indiana,Urban,Local,15279182510
2023,Iowa,Rural,Interstate,5327671630
2023,Iowa,Rural,Other Freeways and Expressways,0
2023,Iowa,Rural,Other Principal Arterial,6397058720
2023,Iowa,Rural,Minor Arterial,2650039110
2023,Iowa,Rural,Major Collector,3513950260
2023,Iowa,Rural,Minor Collector,829801220
2023,Iowa,Rural,Local,1387456620
2023,Iowa,Urban,Interstate,3107274750
2023,Iowa,Urban,Other Freeways and Expressways,0
2023,Iowa,Urban,Other Principal Arterial,3966707910
2023,Iowa,Urban,Minor Arterial,3190702010
2023,Iowa,Urban,Major Collector,1115596050
2023,Iowa,Urban,Minor Collector,74540
2023,Iowa,Urban,Local,1767685880
2023,Kansas,Rural,Interstate,3910708290
2023,Kansas,Rural,Other Freeways and Expressways,1347258690
2023,Kansas,Rural,Other Principal Arterial,3266528660
2023,Kansas,Rural,Minor Arterial,2357557490
2023,Kansas,Rural,Major Collector,2638565710
2023,Kansas,Rural,Minor Collector,333937040
2023,Kansas,Rural,Local,1419669330
2023,Kansas,Urban,Interstate,4285610670
2023,Kansas,Urban,Other Freeways and Expressways,2116031460
2023,Kansas,Urban,Other Principal Arterial,1200246190
2023,Kansas,Urban,Minor Arterial,4333443850
2023,Kansas,Urban,Major Collector,2084910740
2023,Kansas,Urban,Minor Collector,288668840
2023,Kansas,Urban,Local,2244411280
2023,Kentucky,Rural,Interstate,8945379030
2023,Kentucky,Rural,Other Freeways and Expressways,1580261140
2023,Kentucky,Rural,Other Principal Arterial,3477991790
2023,Kentucky,Rural,Minor Arterial,3660844220
2023,Kentucky,Rural,Major Collector,3885537440
2023,Kentucky,Rural,Minor Collector,2072105000
2023,Kentucky,Rural,Local,2998840000
2023,Kentucky,Urban,Interstate,6841278610
2023,Kentucky,Urban,Other Freeways and Expressways,881318910
2023,Kentucky,Urban,Other Principal Arterial,4577726720
2023,Kentucky,Urban,Minor Arterial,5276989910
2023,Kentucky,Urban,Major Collector,2165107720
2023,Kentucky,Urban,Minor Collector,341417830
2023,Kentucky,Urban,Local,2288550000
2023,Louisiana,Rural,Interstate,7263024040
2023,Louisiana,Rural,Other Freeways and Expressways,226594840
2023,Louisiana,Rural,Other Principal Arterial,2675008310
2023,Louisiana,Rural,Minor Arterial,2958709980
2023,Louisiana,Rural,Major Collector,3591585120
2023,Louisiana,Rural,Minor Collector,1323573950
2023,Louisiana,Rural,Local,2951609730
2023,Louisiana,Urban,Interstate,10445150410
2023,Louisiana,Urban,Other Freeways and Expressways,1228460270
2023,Louisiana,Urban,Other Principal Arterial,7736563880
2023,Louisiana,Urban,Minor Arterial,6860892480
2023,Louisiana,Urban,Major Collector,4043217740
2023,Louisiana,Urban,Minor Collector,1266160420
2023,Louisiana,Urban,Local,2989850780
2023,Maine,Rural,Interstate,2235071670
2023,Maine,Rural,Other Freeways and Expressways,20032780
2023,Maine,Rural,Other Principal Arterial,1810769750
2023,Maine,Rural,Minor Arterial,1732244360
2023,Maine,Rural,Major Collector,2283733220
2023,Maine,Rural,Minor Collector,849862350
2023,Maine,Rural,Local,1455778780
2023,Maine,Urban,Interstate,1279723890
2023,Maine,Urban,Other Freeways and Expressways,137036500
2023,Maine,Urban,Other Principal Arterial,670790780
2023,Maine,Urban,Minor Arterial,942494810
2023,Maine,Urban,Major Collector,899347690
2023,Maine,Urban,Minor Collector,118276880
2023,Maine,Urban,Local,452998950
2023,Maryland,Rural,Interstate,2123486360
2023,Maryland,Rural,Other Freeways and Expressways,535488450
2023,Maryland,Rural,Other Principal Arterial,2095956920
2023,Maryland,Rural,Minor Arterial,1773492530
2023,Maryland,Rural,Major Collector,1592950260
2023,Maryland,Rural,Minor Collector,611740000
2023,Maryland,Rural,Local,1780105000
2023,Maryland,Urban,Interstate,14884144030
2023,Maryland,Urban,Other Freeways and Expressways,6622159070
2023,Maryland,Urban,Other Principal Arterial,9907771920
2023,Maryland,Urban,Minor Arterial,7362990040
2023,Maryland,Urban,Major Collector,4046835930
2023,Maryland,Urban,Minor Collector,695544190
2023,Maryland,Urban,Local,3322960000
2023,Massachusetts,Rural,Interstate,821861020
2023,Massachusetts,Rural,Other Freeways and Expressways,100369930
2023,Massachusetts,Rural,Other Principal Arterial,252699340
2023,Massachusetts,Rural,Minor Arterial,440603330
