State,Interstate,Junction,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Virginia,Unknown,Junction,5,2,4,14,3,0,0,0,2,1,1,32
Virginia,Unknown,Non-Junction,3,6,9,27,8,6,16,0,8,3,7,93
Virginia,Unknown,Other,0,0,0,0,0,1,0,1,0,0,3,5
Virginia,Unknown,Total,8,8,13,41,11,7,16,1,10,4,11,130
Virginia,Total,Junction,130,154,160,167,185,162,197,171,185,214,177,1902
Virginia,Total,Non-Junction,483,482,517,524,566,577,537,588,671,664,618,6227
Virginia,Total,Other,69,23,34,31,32,39,40,37,49,66,60,480
Virginia,Total,Unknown,0,0,1,0,0,0,0,0,1,0,0,2
Virginia,Total,Total,682,659,712,722,783,778,774,796,906,944,855,8611
Washington,Interstate,Junction,2,1,1,1,0,1,3,3,2,1,2,17
Washington,Interstate,Non-Junction,33,29,50,56,68,56,50,41,71,76,62,592
Washington,Interstate,Other,8,6,9,7,12,12,6,10,14,7,14,105
Washington,Interstate,Total,43,36,60,64,80,69,59,54,87,84,78,714
Washington,Non-Interstate,Junction,89,78,135,136,120,111,125,164,158,180,171,1467
Washington,Non-Interstate,Non-Junction,244,227,278,271,293,286,303,284,330,388,442,3346
Washington,Non-Interstate,Other,17,13,23,29,31,17,18,28,27,41,31,275
Washington,Non-Interstate,Unknown,0,0,0,0,1,1,0,1,0,0,0,3
Washington,Non-Interstate,Total,350,318,436,436,445,415,446,477,515,609,644,5091
Washington,Unknown,Junction,3,42,0,0,0,1,1,0,0,0,1,48
Washington,Unknown,Non-Junction,4,33,2,2,7,5,6,8,5,8,9,89
Washington,Unknown,Other,1,0,1,1,2,0,1,0,0,0,1,7
Washington,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,1
Washington,Unknown,Total,8,75,3,4,9,6,8,8,5,8,11,145
Washington,Total,Junction,94,121,136,137,120,113,129,167,160,181,174,1532
Washington,Total,Non-Junction,281,289,330,329,368,347,359,333,406,472,513,4027
Washington,Total,Other,26,19,33,37,45,29,25,38,41,48,46,387
Washington,Total,Unknown,0,0,0,1,1,1,0,1,0,0,0,4
Washington,Total,Total,401,429,499,504,534,490,513,539,607,701,733,5950
West Virginia,Interstate,Junction,0,0,0,0,0,0,0,1,0,0,0,1
West Virginia,Interstate,Non-Junction,41,28,26,36,26,34,25,24,33,31,21,325
