State,Interstate,Junction,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Wyoming,Non-Interstate,Other,2,8,1,3,0,3,5,5,2,4,2,35
Wyoming,Non-Interstate,Total,55,101,102,65,76,73,80,86,79,86,74,877
Wyoming,Unknown,Non-Junction,0,0,2,0,0,1,1,1,2,3,5,15
Wyoming,Total,Junction,7,12,14,8,12,8,10,10,7,10,10,108
Wyoming,Total,Non-Junction,64,107,114,88,92,85,98,96,89,100,101,1034
Wyoming,Total,Other,4,12,1,4,1,7,12,8,6,8,10,73
Wyoming,Total,Total,75,131,129,100,105,100,120,114,102,118,121,1215
Total,Interstate,Junction,51,64,66,80,67,48,61,55,68,55,56,671
Total,Interstate,Non-Junction,2892,2887,3180,3634,3395,3438,3337,3498,3895,3794,3460,37410
Total,Interstate,Other,701,681,699,777,812,777,784,890,1093,1190,1031,9435
Total,Interstate,Unknown,6,1,2,4,3,4,4,8,2,2,1,37
Total,Interstate,Total,3650,3633,3947,4495,4277,4267,4186,4451,5058,5041,4548,47553
Total,Non-Interstate,Junction,6933,6970,7794,8441,8513,8298,8357,8741,9667,9896,9615,93225
Total,Non-Interstate,Non-Junction,17764,17493,18804,19818,19696,19344,18978,20750,22664,22033,20929,218273
Total,Non-Interstate,Other,1665,1634,1675,1783,1905,1838,1732,1733,2170,2209,2147,20491
Total,Non-Interstate,Unknown,42,72,55,42,54,71,71,55,58,87,85,692
Total,Non-Interstate,Total,26404,26169,28328,30084,30168,29551,29138,31279,34559,34225,32776,332681
Total,Unknown,Junction,21,64,66,24,14,15,26,28,19,15,53,345
Total,Unknown,Non-Junction,113,174,177,130,78,65,110,119,115,107,221,1409
Total,Unknown,Other,9,9,15,7,11,9,11,19,11,8,29,138
Total,Unknown,Unknown,5,7,5,8,12,12,16,39,23,26,27,180
Total,Unknown,Total,148,254,263,169,115,101,163,205,168,156,330,2072
Total,Total,Junction,7005,7098,7926,8545,8594,8361,8444,8824,9754,9966,9724,94241
Total,Total,Non-Junction,20769,20554,22161,23582,23169,22847,22425,24367,26674,25934,24610,257092
Total,Total,Other,2375,2324,2389,2567,2728,2624,2527,2642,3274,3407,3207,30064
Total,Total,Unknown,53,80,62,54,69,87,91,102,83,115,113,909
Total,Total,Total,30202,30056,32538,34748,34560,33919,33487,35935,39785,39422,37654,382306
